title,genre,director,country,year,Rate IMDb
?,драматический фильм [1],Ханун Брамантйо [d] [1],Индонезия,7 апреля   2011,7.0
2+1,драма семейный,Хьюго Желен,Франция   Великобритания,2016,7.3
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,4.7
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,
2:22,триллер,Пол Карри     (англ.)  ( рус.,США   Австралия,2017,5.7
2:37,драматический фильм [1] [2],Мулари К. Теллури [d] [1] [2] […],Австралия,2006,6.8
2 секунды,комедия,Манон Брайан,Канада,1998,6.6
2 Girls 1 Cup,порнофильм  и  ЛГБТ-фильм [d],Марко Фиорито [d],Бразилия,5 января   2007,4.2
2 дня в Париже,комедия драма мелодрама,Жюли Дельпи,Франция   Германия,2007,6.7
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,2017  (Международный кинофестиваль в Торонто 2017 (TIFF)) 2019  (международная премьера),7.0
1+1,комедийная драма бадди-муви,Оливье Накаш [2] Эрик Толедано [2],Франция,2011,8.5
01-99,комедия,Амасий Мартиросян,СССР,1959,7.7
1 Night in China,порнофильм,Шон Уолтман Чайна,США,2004,2.6
1 миля до тебя,драма мелодрама,Лейф Тильден,США,2017,6.3
1%,криминальный,Стив МакКаллум,Австралия,2017,5.3
1,документальный,Пол Краудер,США,2013,7.9
55 дней в Пекине,"драма ,  исторический ,  военный",Николас Рэй,США,1963,6.7
51,фантастика фильм ужасов,Джейсон Коннери,США,2011,3.5
50 таблеток,Драма,Тео Эвгерино,США,2006,4.9
50 первых поцелуев,романтическая комедия,Питер Сигал,США,2004,6.8
50 оттенков голубого,драма,Стюарт Мейн,Новая Зеландия,2005,5.7
49 дней,"драма ,  приключения",Генрих Габай,СССР,1962,7.9
47 ронинов,фэнтези боевик драма,Карл Ринш,США   Япония,2013,6.2
45-й калибр,драма,Гари Леннон,США,2006,5.5
45 лет,драма,Эндрю Хэйг [en],Великобритания,2015,7.1
44 минуты: Бойня в северном Голливуде,"боевик, драма, криминал.",Ив Симоно.,США,2003,6.3
42-я улица,комедия мюзикл мелодрама,Ллойд Бэкон Басби Беркли   (муз. номера),США,1933,7.3
42 / Номер 42,драма спортивный фильм,Брайан Хелгеленд,США [2] [3],12 апреля   2013  и  8 августа   2013 [1],7.5
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,7.8
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002,5.6
40,детектив  /  триллер,Александр Галибин,Россия,2007,
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959,6.8
38-я параллель,драма боевик военный,Кан Джегю,Республика Корея,2004,8.0
36 безумных кулаков,боевик комедия драма,Чэнь Чжихуа,Гонконг,1977,5.0
34-й скорый,Фильм-катастрофа,Андрей Малюков,СССР,1981,6.3
33,драма,Патрисия Ригген,США   Чили   Колумбия,2015,6.9
 ,"драма ,  мелодрама",Дени Вильнёв,Канада,1998,6.5
32 декабря,"комедия ,  фантастика",Александр Муратов,Россия,2004,5.0
31-й километр,"ужасы ,  мистика",Ригоберто Кастаньеда,Мексика   Испания,2006,5.3
65,научно-фантастический   остросюжетный боевик,Скотт Бек Брайан Вудс,США [5],2023,
31 июня,"музыкальный фильм  ( мюзикл ),  фэнтези",Леонид Квинихидзе,СССР,1978,7.3
31,Фильм ужасов,Роб Зомби,США,2016,5.1
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,США,2009,6.3
30 свиданий,комедия мелодрама,Татьяна Капитан,Россия,2016,5.0
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,комедийный   фильм ужасов,Крэйг Мосс,США,2012,2.6
30 дней ночи: Тёмные времена,триллер  /  фильм ужасов,Бен Кетай,США,2010,4.3
30 дней ночи,ужасы драма триллер,Дэвид Слейд,США   Новая Зеландия,2007,6.6
317-й взвод,военный фильм  и  драматический фильм,Пьер Шёндёрффер [1],Франция   Испания,1964,7.3
"301, 302",триллер фильм ужасов детектив,Пак Чхоль Су [en],Республика Корея,1995,6.4
300 спартанцев: Расцвет империи,пеплум,Ноам Мурро,США,2014,6.2
300 спартанцев,кинокомикс пеплум неонуар,Зак Снайдер,США,2006 [~ 1],7.6
247 градусов по Фаренгейту,фильм ужасов,Леван Бакха,США   Грузия,2011,4.8
200 сигарет,комедия   драма   мелодрама,Риза Брэмон Гарсия,США,1999,5.9
187,"драма ,  триллер",Кевин Рейнольдс,США,1997,6.6
128 ударов сердца в минуту,музыкальная драма,Макс Джозеф,"США ,    Франция ,    Великобритания",2015,6.2
2046,драма мелодрама фантастика,Вонг Карвай,Китай   Гонконг,2004,7.4
2036: Nexus Dawn,"антиутопический фильм ,  научно-фантастический фильм  и  киберпанк",Люк Скотт,США,30 августа   2017,6.9
2036: Происхождение неизвестно,научная фантастика,Хасраф Дулулл,Великобритания,2018,4.3
2030 — Восстание молодых немцев,фантастика драма,Йорг Людорф,Германия,2011,5.5
2019: После падения Нью-Йорка,боевик фильм ужасов фантастика постапокалиптика,Сержо Мартино,Франция   Италия,1983,5.5
2012: Ледниковый период,научно-фантастический   фильм-катастрофа,Трэвис Форт,США,2011,2.2
