title,genre,director,country,year,Rate IMDb
0-41*,документальный драма комедия,Сенна Хегде,Индия,2016,8.9
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982,6.9
4 x 4,"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара",Финляндия Норвегия Швеция Дания,1965,6.8
...а пятый всадник – Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,6.8
«SOS» над тайгой,"драма ,  приключения","Аркадий Кольцатый ,   Валентин Перов",СССР,1976,5.1
Чудотворец из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,
4:44. Последний день на Земле,драма фантастика,Абель Феррара,США,2011,4.6
?,драматический фильм [1],Ханун Брамантйо [d] [1],Индонезия,7 апреля   2011,7.0
"4 месяца, 3 недели и 2 дня",психологическая  драма,Кристиан Мунджиу,Румыния,2007,7.9
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,7.8
4 листа фанеры,детектив,Иван Гаврилюк Сайдо Курбанов,Украина,1992,5.1
55 дней в Пекине,"драма ,  исторический ,  военный",Николас Рэй,США,1963,6.7
4 американских композитора,"документальный ,  музыкальный",Питер Гринуэй,Великобритания,1983,7.4
Четыре,драма,Илья Хржановский,Россия   Нидерланды,2004,6.5
4 дня в мае,военная   драма боевик,Ахим фон Боррис,Германия   Украина   Россия,2011,6.4
55,документальный фильм,Никита Михалков,Россия,2007,
51,фантастика фильм ужасов,Джейсон Коннери,США,2011,3.5
50 таблеток,Драма,Тео Эвгерино,США,2006,4.9
50 первых поцелуев,романтическая комедия,Питер Сигал,США,2004,6.8
50 оттенков голубого,драма,Стюарт Мейн,Новая Зеландия,2005,5.7
49 дней,"драма ,  приключения",Генрих Габай,СССР,1962,7.9
47 ронинов,фэнтези боевик драма,Карл Ринш,США   Япония,2013,6.2
45-й калибр,драма,Гари Леннон,США,2006,5.5
45 лет,драма,Эндрю Хэйг [en],Великобритания,2015,7.1
44 минуты: Бойня в северном Голливуде,"боевик, драма, криминал.",Ив Симоно.,США,2003,6.3
42 / Номер 42,драма спортивный фильм,Брайан Хелгеленд,США [2] [3],12 апреля   2013  и  8 августа   2013 [1],7.5
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002,5.6
38-я параллель,драма боевик военный,Кан Джегю,Республика Корея,2004,8.0
42-я улица,комедия мюзикл мелодрама,Ллойд Бэкон Басби Беркли   (муз. номера),США,1933,7.3
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959,6.8
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,7.8
36 безумных кулаков,боевик комедия драма,Чэнь Чжихуа,Гонконг,1977,5.0
 ,"драма ,  мелодрама",Дени Вильнёв,Канада,1998,6.5
32 декабря,"комедия ,  фантастика",Александр Муратов,Россия,2004,5.0
